"Year","Population"
1950,913774
1951,919323.1
1952,924872.2
1953,930421.3
1954,935970.4
1955,941519.5
1956,947068.6
1957,952617.7
1958,958166.8
1959,963715.9
1960,969265
1961,971543.3
1962,973821.6
1963,976099.9
1964,978378.2
1965,980656.5
1966,982934.8
1967,985213.1
1968,987491.4
1969,989769.7
1970,992048
1971,1005309.2
1972,1018570.4
1973,1031831.6
1974,1045092.8
1975,1058354
1976,1071615.2
1977,1084876.4
1978,1098137.6
1979,1111398.8
1980,1124660
1981,1134986.8
1982,1145313.6
1983,1155640.4
1984,1165967.2
1985,1176294
1986,1186620.8
1987,1196947.6
1988,1207274.4
1989,1217601.2
1990,1227928
1991,1232627.5
1992,1237327
1993,1242026.5
1994,1246726
1995,1251425.5
1996,1256125
1997,1260824.5
1998,1265524
1999,1270223.5
2000,1274923
2001,1280266.8
2002,1285610.6
2003,1290954.4
2004,1296298.2
2005,1301642
2006,1306985.8
2007,1312329.6
2008,1317673.4
2009,1323017.2
2010,1328361
2011,1331760.8
2012,1335160.6
2013,1338560.4
2014,1341960.2
2015,1345360
2016,1348759.8
2017,1352159.6
2018,1355559.4
2019,1358959.2
2020,1362359
