"Year","Total_Weight_kg","Total_Value","Lobster_Pounds","Lobster_Value","Mean_Sea_Level_m","Annual_Temp","Annual_Precip","Annual_NAO","Total_Catch"
2020,3903150.63058462,8214.00016126979,19471274.9246829,86462987.0224063,2.16459646666667,46.9,52.4,-0.318333333333333,-1144.4404245294
2021,5929939.80147922,8214.00016126979,21722252.0665216,115510576.548959,2.16459646666667,46.9,52.4,-0.318333333333333,-1152.25622457066
2022,7292186.28327589,8214.00016126979,18721703.6383384,99154726.4591217,2.16459646666667,46.9,52.4,-0.318333333333333,-1161.85285495149
2023,8299749.52920388,8214.00016126979,12730260.6939219,63943752.1923629,2.16459646666667,46.9,52.4,-0.318333333333333,-1172.52629695142
2024,8299749.52920388,8214.00016126979,7427758.96406682,32285553.731339,2.16459646666667,46.9,52.4,-0.318333333333333,-1183.85085278138
2025,8299749.52920388,8214.00016126979,5699641.95037726,21457272.2567789,2.16459646666667,46.9,52.4,-0.318333333333333,-1195.56911649127
2026,8299749.52920388,8214.00016126979,8113485.14582744,34623178.8291993,2.16459646666667,46.9,52.4,-0.318333333333333,-1207.52544286792
2027,8299749.52920388,8214.00016126979,12859890.7456509,61033255.162673,2.16459646666667,46.9,52.4,-0.318333333333333,-1219.62571818789
2028,8299749.52920388,8214.00016126979,17027799.738892,84006102.7376791,2.16459646666667,46.9,52.4,-0.318333333333333,-1231.81303486788
2029,8299749.52920388,8214.00016126979,18353290.3665906,91124763.6241114,2.16459646666667,46.9,52.4,-0.318333333333333,-1244.05298269738
2030,8299749.52920388,8214.00016126979,16412243.700312,80611346.3299947,2.16459646666667,46.9,52.4,-0.318333333333333,-1256.32475491353
2031,8299749.52920388,8214.00016126979,12652514.5649576,60836239.4442869,2.16459646666667,46.9,52.4,-0.318333333333333,-1268.61577032681
2032,8299749.52920388,8214.00016126979,9376788.59197834,44198302.5702231,2.16459646666667,46.9,52.4,-0.318333333333333,-1280.91842149105
2033,8299749.52920388,8214.00016126979,8361106.99436595,39599778.434648,2.16459646666667,46.9,52.4,-0.318333333333333,-1293.2281084248
2034,8299749.52920388,8214.00016126979,9921334.09675566,47937529.6803586,2.16459646666667,46.9,52.4,-0.318333333333333,-1305.54204966519
2035,8299749.52920388,8214.00016126979,12899211.417254,62719881.2157781,2.16459646666667,46.9,52.4,-0.318333333333333,-1317.85856334986
2036,8299749.52920388,8214.00016126979,15473447.3906768,74745397.3037299,2.16459646666667,46.9,52.4,-0.318333333333333,-1330.17663251
2037,8299749.52920388,8214.00016126979,16250927.9559968,77648230.6586036,2.16459646666667,46.9,52.4,-0.318333333333333,-1342.49564221682
2038,8299749.52920388,8214.00016126979,14997294.3502212,71075350.2231621,2.16459646666667,46.9,52.4,-0.318333333333333,-1354.81522064235
2039,8299749.52920388,8214.00016126979,12638903.3171488,60043233.4055313,2.16459646666667,46.9,52.4,-0.318333333333333,-1367.1351429541
2040,8299749.52920388,8214.00016126979,10616163.0952882,51369903.175531,2.16459646666667,46.9,52.4,-0.318333333333333,-1379.4552732029
2041,8299749.52920388,8214.00016126979,10021674.4984313,49594844.2677217,2.16459646666667,46.9,52.4,-0.318333333333333,-1391.77552918464
2042,8299749.52920388,8214.00016126979,11028583.2432443,54749217.9238331,2.16459646666667,46.9,52.4,-0.318333333333333,-1404.09586119311
2043,8299749.52920388,8214.00016126979,12896183.0548693,62969322.8837157,2.16459646666667,46.9,52.4,-0.318333333333333,-1416.41623917254
